ANA Código da Estação,Bacia Codigo,Bacia Nome,Sub-Bacia Codigo,Sub-Bacia Nome,Municipio Codigo,Nome do Municipio,Nome da Estação,Tipo Estacao,Latitude,Longitude,Altitude,Primeiro Ano com Dados,Ultimo Ano com Dados,Porcentagem de Dados  Ausentes
1940020,5,"Atlântico,Trecho Leste",56,Rio Doce,18046000,Santa Teresa,Caldeirão,Pluviomêtrica,-19.955,-40.7417,750,1970,2019,1
1940021,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18006000,Aracruz,Aracruz,Pluviomêtrica,-19.83,-40.2722,58,1970,2019,2
1940022,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18006000,Aracruz,Jacupemba,Pluviomêtrica,-19.5886,-40.1981,50,1970,2019,0
1940023,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Rio Bananal,Pluviomêtrica,-19.2742,-40.3208,95,1970,2019,0
1940024,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,São Sebastião Da Terra Alta,Pluviomêtrica,-19.4333,-40.4,50,1970,1983,0
1940025,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Serraria (Alto Do Moacir),Pluviomêtrica,-19.2953,-40.5175,250,1970,2010,0
1940026,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Cachoeira Do Oito,Pluviomêtrica,-19.4667,-40.6333,,1964,1965,4
1940030,5,"Atlântico,Trecho Leste",56,Rio Doce,18027000,Itaguaçu,Serra Do Limoeiro,Pluviomêtrica,-19.8,-40.8333,,1952,1954,43
1940031,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Fazenda Contendas,Pluviomêtrica,-19.45,-40.2,,1970,1978,1
1940033,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Fazenda Boa Esperança,Pluviomêtrica,-19.3,-40.6667,,1973,1980,6
1940034,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Esfip,Pluviomêtrica,-19.4,-40.0667,28,1967,1980,3
1940035,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Fazenda California (Pma),Pluviomêtrica,-19.4,-40.0667,,1971,1977,0
1940036,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Linhares (Estação Experimental),Pluviomêtrica,-19.4,-40.0667,40,1970,1998,16
1940039,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18046000,Santa Teresa,Santa Teresa,Pluviomêtrica,-19.85,-40.6,675,1976,1998,16
1940040,5,"Atlântico,Trecho Leste",56,Rio Doce,18032000,Linhares,Fazenda Tira Teima (Cepec),Pluviomêtrica,-19.3333,-40.1,,1974,1978,0
1940042,5,"Atlântico,Trecho Leste",57,"Rios Itapemirim,Itabapoana E ",18006000,Aracruz,Aracruz,Pluviomêtrica,-19.8167,-40.25,65,1976,1997,14
1940043,5,"Atlântico,Trecho Leste",56,Rio Doce,18029000,Itarana,Itarana,Pluviomêtrica,-19.8667,-40.8833,165,1979,1998,2
1940044,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Marilândia (Colatina),Pluviomêtrica,-19.5467,-40.5203,85,1976,2000,26
1940045,5,"Atlântico,Trecho Leste",56,Rio Doce,18047000,São Gabriel Da Palha,São Gabriel Da Palha,Pluviomêtrica,-19.0167,-40.5667,120,1976,1995,53
1940046,5,"Atlântico,Trecho Leste",56,Rio Doce,18046000,Santa Teresa,São João De Petrópolis,Pluviomêtrica,-19.8833,-40.6833,174,1988,1998,17
1940047,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Uhe Mascarenhas Jusante,Pluviomêtrica,-19.5081,-40.8639,71,2002,2013,0
1940048,5,"Atlântico,Trecho Leste",56,Rio Doce,18046500,São Domingos Do Norte,São Domingos Do Norte,Pluviomêtrica,-19.1333,-40.6167,,1999,2000,0
1940049,5,"Atlântico,Trecho Leste",56,Rio Doce,18050100,Sooretama,Sooretama,Pluviomêtrica,-19.1833,-40.0833,,1999,2000,0
1940050,5,"Atlântico,Trecho Leste",56,Rio Doce,18015000,Colatina,Colatina,Pluviomêtrica,-19.5333,-40.6333,,1999,1999,0
1941003,5,"Atlântico,Trecho Leste",56,Rio Doce,18008000,Baixo Guandú,Baixo Guandu,Pluviomêtrica,-19.5253,-41.0153,70,1941,2019,2
1941008,5,"Atlântico,Trecho Leste",56,Rio Doce,18001000,Afonso Cláudio,Laranja Da Terra,Pluviomêtrica,-19.9011,-41.0581,250,1947,2019,0
1941009,5,"Atlântico,Trecho Leste",56,Rio Doce,18008000,Baixo Guandú,Ibituba,Pluviomêtrica,-19.6911,-41.02,160,1967,2019,0
1941012,5,"Atlântico,Trecho Leste",56,Rio Doce,18040000,Pancas,Alto Rio Novo,Pluviomêtrica,-19.0592,-41.0275,500,1970,2019,0
