date,id,evap,relHum,solarRad,tempMax,tempMin,winSpeed
09/08/1980,1,3.27276498214031,72.5,19.6596101754557,29.7,11.6,0.75
10/08/1980,1,2.95349845212328,69,18.6424968064255,28.7,10.8,0.50000025
11/08/1980,1,2.68518977496156,74,14.7643588597957,28.3,12.5,0.75
12/08/1980,1,1.60313879460114,76,6.99199779872504,24.9,15.6,0.50000025
13/08/1980,1,1.67587731877776,77,8.65943116138917,23.4,16.9,0.24999975
14/08/1980,1,2.47514338257329,79.5,13.9843412820141,26.5,12.3,0.75
15/08/1980,1,2.37922635689295,76.75,12.5422380559823,26.8,13.3,0.75
16/08/1980,1,2.65705815101998,71,17.0429107056615,28.3,14.9,0
17/08/1980,1,3.3451544316952,68.75,17.8918854832811,31.5,13.6,0.75
18/08/1980,1,3.1391275277411,70.25,18.7479373945002,30.6,15.3,0.24999975
19/08/1980,1,3.430208310315,72,19.2259911091672,30.9,16.9,0.50000025
20/08/1980,1,3.34761675620549,74,19.8366848471516,31.6,14.5,0.24999975
21/08/1980,1,3.80832428334924,67.5,20.4521804174034,30.3,15.6,0.99999975
22/08/1980,1,3.84978289665052,71,21.0724385274831,29.5,12.9,1.25000025
23/08/1980,1,2.63530045507995,66.25,16.6052385651484,30.2,13.3,0
24/08/1980,1,1.71174376396152,81.5,8.82133193037491,25.4,17.5,0
25/08/1980,1,3.27804061238203,71.25,17.6941817170186,31.6,15.2,0.50000025
26/08/1980,1,3.92757441668998,70.5,18.9719820910537,31.8,16.9,1.25000025
27/08/1980,1,NaN,NaN,NaN,0,NaN,NaN
28/08/1980,1,1.46758422316835,79,7.69036233427062,19.2,11.9,0.24999975
29/08/1980,1,2.62171497693608,75.75,15.6353131020849,22.3,10.4,0.99999975
30/08/1980,1,2.86936592172319,74.25,19.2086809379516,24.4,9.9,0.24999975
31/08/1980,1,2.82417745362645,73.5,18.7608205662117,26.6,10.5,0
01/09/1980,1,3.55799279967646,68.5,21.2902198089535,30.2,9.8,0.50000025
02/09/1980,1,3.03852418653396,67.25,17.8515484139011,30.9,10.8,0.24999975
03/09/1980,1,3.47843348656364,68.25,18.619684106237,32.7,12.5,0.50000025
04/09/1980,1,3.79267006960108,67.75,15.1410965493736,27.6,13.9,2.49999975
05/09/1980,1,1.68077673389545,79,8.05446253144687,19.6,12.2,0.75
06/09/1980,1,1.59318528750058,76.75,8.09992032979406,20.6,12.4,0.24999975
07/09/1980,1,2.41560767196661,73.75,11.7527642728788,25.4,14.5,0.75
08/09/1980,1,3.26053887800714,70.75,16.1290522808915,28.2,15.2,0.99999975
09/09/1980,1,3.54658319751713,65.25,20.9566223545007,31.8,11.3,0.24999975
10/09/1980,1,4.47684979444394,62.5,21.1887181639219,30.8,14.1,1.5
11/09/1980,1,3.06627267038188,71.25,15.7887396238347,28.6,17.3,0.50000025
12/09/1980,1,3.16659569090477,77,14.5883134213091,27.9,16.8,1.5
13/09/1980,1,2.67233922093371,71.5,13.9457045005047,25.6,15.9,0.50000025
14/09/1980,1,3.84965686171249,71.25,19.8438872576418,28.5,13.5,1.25000025
15/09/1980,1,4.18554170808754,68.75,20.7837484225308,30.7,12.6,1.25000025
16/09/1980,1,3.68948594822751,70.25,12.8455132362292,29.4,15.3,2.49999975
17/09/1980,1,2.86692497512018,74,11.3221077931168,22,14.7,3
18/09/1980,1,NaN,NaN,8.63415693858164,16.9,12.8,0
19/09/1980,1,3.63868653827558,73,22.856188477515,28.2,11.6,0
20/09/1980,1,3.47142296345252,76.5,19.4602637556694,30.5,15.6,0
21/09/1980,1,1.82219329791657,82,8.76239194966296,26.6,16.8,0
22/09/1980,1,NaN,NaN,NaN,0,NaN,NaN
23/09/1980,1,2.48174668074421,69,13.2402022581784,23.4,11.8,0.50000025
24/09/1980,1,2.2313395353923,73.75,11.8255017083998,22.9,14.8,0.24999975
25/09/1980,1,1.83343819703832,81.25,8.92867619707452,19.8,13.2,0.75
26/09/1980,1,3.31585343613003,67.75,17.5373917073456,22.5,10.9,1.5
27/09/1980,1,3.78206498364029,71.25,22.9338227258958,23.8,12.6,0.75
28/09/1980,1,2.09156236764539,77.25,9.34645355201622,21.3,8.6,1.25000025
29/09/1980,1,4.53575028691577,68.5,24.2783650461135,31.7,12,0.75
30/09/1980,1,3.98910458865466,70.75,16.7420324182332,30.5,15.3,1.74999975
01/10/1980,1,4.05913981967655,69.5,16.6499544020779,26.5,18,2.75000025
02/10/1980,1,3.82211606742145,66.25,18.0566611957442,27.5,16.4,1.25000025
03/10/1980,1,4.02525574806615,67.75,19.6193301244141,28.4,14.6,1.25000025
04/10/1980,1,3.65736032323108,67,20.585055080563,28.6,14.2,0.24999975
05/10/1980,1,5.16260874160735,65.25,22.4603421302835,32,10.8,2.00000025
06/10/1980,1,2.47863822886843,67.75,9.35209412239982,21.8,13.5,1.5
07/10/1980,1,2.75797015608364,70.25,9.99476562046949,24.8,14.2,1.74999975
08/10/1980,1,2.20006960213233,77.25,9.57505115958987,22.4,16.5,0.99999975
09/10/1980,1,4.06785935022316,71.25,17.0760539082605,31.7,17.3,1.5
10/10/1980,1,3.75925783672216,67.5,16.2092187276388,27.5,18.8,1.5
11/10/1980,1,2.04674126325594,80,9.52551451398687,19.9,15.3,0.99999975
12/10/1980,1,2.01957863139507,80.75,9.55864609309574,20.3,13.1,0.99999975
13/10/1980,1,3.0314392756626,76.75,14.5038091798678,25.2,15.2,1.25000025
14/10/1980,1,3.18443559202421,70,13.4679320000728,24.7,14.3,1.74999975
15/10/1980,1,3.12709869473119,66.25,14.5842431227983,25.4,13.3,0.99999975
16/10/1980,1,2.86930295926204,73,15.3947369499638,26.6,12.6,0.24999975
17/10/1980,1,4.91831262704866,69,24.8609654380808,29.7,15.9,1.25000025
18/10/1980,1,4.74184362808431,71.25,22.2827697924884,31.6,17.6,1.25000025
19/10/1980,1,5.16326522273714,65.75,25.2755295761157,32.9,14.9,0.99999975
20/10/1980,1,5.59793231774606,59.75,24.7054082322108,33.7,15.6,1.5
21/10/1980,1,5.34860876853869,60,24.443139567415,34.8,17.4,0.99999975
22/10/1980,1,4.36670310669364,59.75,20.5991577556107,35.3,16.5,0.50000025
23/10/1980,1,4.51832430927867,68.25,18.4582383998671,31.9,15.9,1.74999975
24/10/1980,1,2.50732185323339,75,9.91404646942493,26.3,19.6,0.99999975
25/10/1980,1,2.92022260091316,73.5,10.5649126672534,28.5,18.9,1.5
26/10/1980,1,4.80482937441711,67,23.7270128236141,33.9,17.2,0.50000025
27/10/1980,1,6.12312366792826,60.5,26.5846396080959,35.7,16.3,1.5
28/10/1980,1,6.37016463685599,63.25,24.5889351902082,36.3,16.5,2.25
29/10/1980,1,NaN,NaN,25.7252394558642,36.7,19.6,2.00000025
30/10/1980,1,NaN,NaN,17.9127461188088,37.7,20.5,2.25
31/10/1980,1,4.6073253538657,66.5,15.5852937830129,30.5,21.9,2.75000025
01/11/1980,1,NaN,NaN,NaN,0,NaN,NaN
02/11/1980,1,2.88617570029694,68.5,10.1288174938481,24.5,16.9,1.74999975
03/11/1980,1,3.11426958835696,70.5,15.9790871443765,27.4,15.5,0.24999975
04/11/1980,1,3.86193922173773,62.75,19.3149704468992,28.2,17.9,0.50000025
05/11/1980,1,3.52136353240151,67,14.7661649770288,29.3,19.2,0.99999975
06/11/1980,1,5.16020611251074,61.75,23.3143880241029,32.8,20.6,0.99999975
07/11/1980,1,NaN,NaN,25.5536374290362,34.3,20.1,0.75
08/11/1980,1,2.34861191648349,73.5,10.2479675170141,28.4,19.5,0.24999975
09/11/1980,1,3.16640008807186,75.75,13.1130788616123,29.8,20.6,0.99999975
10/11/1980,1,2.7269698460929,70.75,12.9739364439725,28.8,21.6,0
11/11/1980,1,2.49502888173666,73.75,10.4589671186501,27.9,20.1,0.50000025
12/11/1980,1,2.13252698060008,77.5,10.3171878800473,22.9,18.8,0
13/11/1980,1,2.25080627839272,73,10.3332584982781,24,18.6,0.24999975
14/11/1980,1,2.93665231098754,65,13.0443600740485,24.6,17.6,0.75
15/11/1980,1,5.07198028511883,66.75,25.5919875899964,27.5,18.5,1.25000025
16/11/1980,1,4.75876496641903,68.75,25.4538827185047,29.5,15.1,0.50000025
17/11/1980,1,4.27714462170687,66.25,19.6000066556384,29.9,18,0.99999975
18/11/1980,1,4.56444036343305,66.75,23.5869240845749,29.2,17.5,0.50000025
19/11/1980,1,4.15357382478528,70.5,18.8388935015804,30.4,18.6,0.99999975
20/11/1980,1,3.42857653236115,80.25,15.5173414464719,28.9,17.1,1.25000025
21/11/1980,1,4.40865517932139,72.25,18.7101092744371,30.2,20.1,1.74999975
22/11/1980,1,3.75883364099087,72.75,17.7703171813732,31.4,21.1,0.24999975
23/11/1980,1,2.58273289743173,77.75,11.422387989922,28.7,21.5,0.24999975
24/11/1980,1,2.59319957074511,78.25,10.479228026311,26.5,21.3,0.99999975
25/11/1980,1,4.0597104962569,68.25,17.0131900164114,28.5,20.2,1.5
26/11/1980,1,5.19589648928712,63,25.9366339895767,29.8,19.6,0.75
27/11/1980,1,4.73330872342624,69,23.5619288879179,29.3,16.1,0.99999975
28/11/1980,1,3.38594754372446,65.5,14.9768052829971,26.7,15.2,0.99999975
29/11/1980,1,3.35897263471197,71.25,16.4196358806049,28.5,18.9,0.24999975
30/11/1980,1,2.31856457623509,77,10.6958512547902,27.6,20,0
01/12/1980,1,NaN,NaN,NaN,0,NaN,NaN
02/12/1980,1,2.45896765386007,77.75,10.5524621448349,24.8,19.4,0.75
03/12/1980,1,3.35949289587352,72.25,14.2244647834225,28.5,20.3,0.99999975
04/12/1980,1,4.35172799334981,69.5,19.9687294794385,32.7,21.6,0.50000025
